DATE,CSUSHPISA
2002-02-01,117.845
2002-03-01,118.68799999999999
2002-04-01,119.611
2002-05-01,120.72399999999999
2002-06-01,121.81200000000001
2002-07-01,122.887
2002-08-01,123.83
2002-09-01,124.77799999999999
2002-10-01,125.73299999999999
2002-11-01,126.667
2002-12-01,127.62100000000001
2003-01-01,128.46
2003-02-01,129.355
2003-03-01,130.148
2003-04-01,130.885
2003-05-01,131.735
2003-06-01,132.649
2003-07-01,133.775
2003-08-01,134.967
2003-09-01,136.29399999999998
2003-10-01,137.532
2003-11-01,138.793
2003-12-01,140.18
2004-01-01,141.64700000000002
2004-02-01,143.19299999999998
2004-03-01,145.058
2004-04-01,146.591
2004-05-01,148.183
2004-06-01,149.84799999999998
2004-07-01,151.335
2004-08-01,152.631
2004-09-01,154.17700000000002
2004-10-01,155.75
2004-11-01,157.52700000000002
2004-12-01,159.33
2005-01-01,161.28799999999998
2005-02-01,163.343
2005-03-01,165.81
2005-04-01,167.50099999999998
2005-05-01,169.351
2005-06-01,171.19
2005-07-01,172.859
2005-08-01,174.442
2005-09-01,176.438
2005-10-01,178.028
2005-11-01,179.68200000000002
2005-12-01,180.91
2006-01-01,182.32
2006-02-01,183.287
2006-03-01,184.363
2006-04-01,184.329
2006-05-01,184.15599999999998
2006-06-01,183.50799999999998
2006-07-01,183.06799999999998
2006-08-01,182.595
2006-09-01,182.8
2006-10-01,183.201
2006-11-01,183.611
2006-12-01,184.141
2007-01-01,184.518
2007-02-01,184.59799999999998
2007-03-01,184.15
2007-04-01,183.01
2007-05-01,181.6
2007-06-01,180.255
2007-07-01,179.114
2007-08-01,178.12099999999998
2007-09-01,177.56099999999998
2007-10-01,176.62599999999998
2007-11-01,175.14700000000002
2007-12-01,174.34099999999998
2008-01-01,173.13299999999998
2008-02-01,171.541
2008-03-01,170.054
2008-04-01,168.338
2008-05-01,166.66
2008-06-01,165.019
2008-07-01,163.57
2008-08-01,161.991
2008-09-01,160.311
2008-10-01,158.328
2008-11-01,156.141
2008-12-01,153.61700000000002
2009-01-01,151.505
2009-02-01,150.012
2009-03-01,148.659
2009-04-01,147.94799999999998
2009-05-01,147.69299999999998
2009-06-01,148.088
2009-07-01,148.407
2009-08-01,148.273
2009-09-01,148.02100000000002
2009-10-01,147.847
2009-11-01,148.134
2009-12-01,147.93
2010-01-01,147.394
2010-02-01,145.631
2010-03-01,145.859
2010-04-01,146.399
2010-05-01,146.389
2010-06-01,145.716
2010-07-01,144.985
2010-08-01,143.908
2010-09-01,143.011
2010-10-01,142.52200000000002
2010-11-01,142.167
2010-12-01,142.058
2011-01-01,141.52200000000002
2011-02-01,140.351
2011-03-01,139.983
2011-04-01,140.007
2011-05-01,139.901
2011-06-01,139.857
2011-07-01,139.727
2011-08-01,139.305
2011-09-01,138.664
2011-10-01,137.95
2011-11-01,137.149
2011-12-01,136.671
2012-01-01,136.602
2012-02-01,136.526
2012-03-01,137.90200000000002
2012-04-01,139.156
2012-05-01,140.158
2012-06-01,141.031
2012-07-01,141.67
2012-08-01,142.279
2012-09-01,142.908
2012-10-01,143.601
2012-11-01,144.585
2012-12-01,145.501
2013-01-01,146.832
2013-02-01,147.77700000000002
2013-03-01,149.96
2013-04-01,151.52
2013-05-01,152.855
2013-06-01,154.205
2013-07-01,155.611
2013-08-01,156.976
2013-09-01,158.235
2013-10-01,159.247
2013-11-01,160.077
2013-12-01,160.997
2014-01-01,161.947
2014-02-01,162.531
2014-03-01,163.09799999999998
2014-04-01,163.408
2014-05-01,163.67600000000002
2014-06-01,164.074
2014-07-01,164.581
2014-08-01,165.21900000000002
2014-09-01,165.91
2014-10-01,166.648
2014-11-01,167.342
2014-12-01,168.06099999999998
2015-01-01,168.669
2015-02-01,169.15
2015-03-01,169.83
2015-04-01,170.332
2015-05-01,170.91299999999998
2015-06-01,171.495
2015-07-01,172.141
2015-08-01,172.94099999999997
2015-09-01,173.835
2015-10-01,174.80200000000002
2015-11-01,175.75099999999998
2015-12-01,176.555
2016-01-01,177.294
2016-02-01,177.66
2016-03-01,178.197
2016-04-01,178.826
2016-05-01,179.49900000000002
2016-06-01,180.15599999999998
2016-07-01,180.878
2016-08-01,181.87
2016-09-01,182.831
2016-10-01,183.752
2016-11-01,184.75
2016-12-01,185.701
2017-01-01,186.80200000000002
2017-02-01,187.327
2017-03-01,188.08
2017-04-01,188.87400000000002
2017-05-01,189.791
2017-06-01,190.666
2017-07-01,191.543
2017-08-01,192.72799999999998
2017-09-01,193.763
2017-10-01,194.762
2017-11-01,195.873
2017-12-01,197.05900000000003
2018-01-01,198.197
2018-02-01,199.165
2018-03-01,200.107
2018-04-01,200.963
2018-05-01,201.785
2018-06-01,202.544
2018-07-01,203.078
2018-08-01,203.791
2018-09-01,204.325
2018-10-01,204.98
2018-11-01,205.468
2018-12-01,205.885
2019-01-01,206.261
2019-02-01,206.68900000000002
2019-03-01,207.328
2019-04-01,208.067
2019-05-01,208.77
2019-06-01,209.195
2019-07-01,209.58700000000002
2019-08-01,210.263
2019-09-01,210.863
2019-10-01,211.53400000000002
2019-11-01,212.43099999999998
2019-12-01,213.428
2020-01-01,214.45
2020-02-01,215.49900000000002
2020-03-01,216.747
2020-04-01,217.614
2020-05-01,217.899
2020-06-01,218.40400000000002
2020-07-01,219.793
2020-08-01,222.551
2020-09-01,225.695
2020-10-01,229.299
2020-11-01,232.64700000000002
2020-12-01,235.62
2021-01-01,238.457
